CEILING,LATITUDE,LONGITUDE
400,40.55417343,-73.91250593
400,40.55417343,-73.90417259
400,40.55417343,-73.89583926
400,40.55417343,-73.88750592
400,40.56250676,-73.92083926
400,40.56250676,-73.91250593
400,40.56250676,-73.90417259
400,40.56250676,-73.89583926
400,40.56250676,-73.88750592
400,40.56250676,-73.87917259
400,40.56250676,-73.87083925
400,40.56250676,-73.86250592
400,40.5708401,-73.9291726
400,40.5708401,-73.92083926
400,40.5708401,-73.91250593
400,40.5708401,-73.90417259
400,40.5708401,-73.89583926
400,40.5708401,-73.88750592
400,40.5708401,-73.87917259
400,40.5708401,-73.87083925
400,40.5708401,-73.86250592
400,40.5708401,-73.85417258
400,40.5708401,-73.84583925
400,40.5708401,-73.83750591
400,40.57917343,-73.93750593
400,40.57917343,-73.9291726
400,40.57917343,-73.92083926
400,40.57917343,-73.91250593
400,40.57917343,-73.90417259
400,40.57917343,-73.89583926
400,40.57917343,-73.88750592
400,40.57917343,-73.87917259
400,40.57917343,-73.87083925
400,40.57917343,-73.86250592
400,40.57917343,-73.85417258
400,40.57917343,-73.84583925
400,40.57917343,-73.83750591
400,40.57917343,-73.82917258
400,40.57917343,-73.82083924
400,40.57917343,-73.81250591
400,40.57917343,-73.72083922
400,40.57917343,-73.71250589
400,40.57917343,-73.70417255
400,40.57917343,-73.69583922
400,40.57917343,-73.68750588
400,40.57917343,-73.67917255
400,40.58750677,-73.93750593
400,40.58750677,-73.9291726
400,40.58750677,-73.92083926
400,40.58750677,-73.91250593
400,40.58750677,-73.90417259
400,40.58750677,-73.89583926
400,40.58750677,-73.88750592
400,40.58750677,-73.87917259
400,40.58750677,-73.87083925
400,40.58750677,-73.86250592
400,40.58750677,-73.85417258
400,40.58750677,-73.84583925
400,40.58750677,-73.83750591
400,40.58750677,-73.82917258
400,40.58750677,-73.82083924
400,40.58750677,-73.81250591
400,40.58750677,-73.80417257
400,40.58750677,-73.79583924
400,40.58750677,-73.7875059
400,40.58750677,-73.77917257
400,40.58750677,-73.77083923
400,40.58750677,-73.7625059
400,40.58750677,-73.75417256
400,40.58750677,-73.74583923
400,40.58750677,-73.73750589
400,40.58750677,-73.72917256
400,40.58750677,-73.72083922
400,40.58750677,-73.71250589
400,40.58750677,-73.70417255
400,40.58750677,-73.69583922
400,40.58750677,-73.68750588
400,40.58750677,-73.67917255
400,40.5958401,-73.93750593
400,40.5958401,-73.9291726
400,40.5958401,-73.92083926
400,40.5958401,-73.91250593
400,40.5958401,-73.90417259
400,40.5958401,-73.89583926
400,40.5958401,-73.88750592
400,40.5958401,-73.87917259
400,40.5958401,-73.87083925
400,40.5958401,-73.86250592
400,40.5958401,-73.85417258
400,40.5958401,-73.84583925
400,40.5958401,-73.83750591
400,40.5958401,-73.82917258
400,40.5958401,-73.82083924
400,40.5958401,-73.81250591
400,40.5958401,-73.80417257
400,40.5958401,-73.79583924
400,40.5958401,-73.7875059
400,40.5958401,-73.77917257
400,40.5958401,-73.77083923
400,40.5958401,-73.7625059
400,40.5958401,-73.75417256
400,40.5958401,-73.74583923
400,40.5958401,-73.73750589
400,40.5958401,-73.72917256
400,40.5958401,-73.72083922
400,40.5958401,-73.71250589
400,40.5958401,-73.70417255
400,40.5958401,-73.69583922
400,40.5958401,-73.68750588
400,40.5958401,-73.67917255
400,40.5958401,-73.67083921
400,40.60417344,-73.94583927
400,40.60417344,-73.93750593
400,40.60417344,-73.9291726
400,40.60417344,-73.92083926
400,40.60417344,-73.91250593
400,40.60417344,-73.90417259
400,40.60417344,-73.89583926
400,40.60417344,-73.88750592
300,40.60417344,-73.87917259
300,40.60417344,-73.87083925
300,40.60417344,-73.86250592
300,40.60417344,-73.85417258
400,40.60417344,-73.84583925
400,40.60417344,-73.83750591
400,40.60417344,-73.82917258
400,40.60417344,-73.82083924
0,40.60417344,-73.81250591
0,40.60417344,-73.80417257
0,40.60417344,-73.79583924
0,40.60417344,-73.7875059
0,40.60417344,-73.77917257
0,40.60417344,-73.77083923
0,40.60417344,-73.7625059
0,40.60417344,-73.75417256
200,40.60417344,-73.74583923
200,40.60417344,-73.73750589
300,40.60417344,-73.72917256
300,40.60417344,-73.72083922
400,40.60417344,-73.71250589
400,40.60417344,-73.70417255
400,40.60417344,-73.69583922
400,40.60417344,-73.68750588
400,40.60417344,-73.67917255
400,40.60417344,-73.67083921
400,40.61250677,-73.94583927
400,40.61250677,-73.93750593
400,40.61250677,-73.9291726
400,40.61250677,-73.92083926
400,40.61250677,-73.91250593
400,40.61250677,-73.90417259
400,40.61250677,-73.89583926
400,40.61250677,-73.88750592
300,40.61250677,-73.87917259
300,40.61250677,-73.87083925
300,40.61250677,-73.86250592
300,40.61250677,-73.85417258
400,40.61250677,-73.84583925
400,40.61250677,-73.83750591
400,40.61250677,-73.82917258
400,40.61250677,-73.82083924
0,40.61250677,-73.81250591
0,40.61250677,-73.80417257
0,40.61250677,-73.79583924
0,40.61250677,-73.7875059
0,40.61250677,-73.77917257
0,40.61250677,-73.77083923
0,40.61250677,-73.7625059
0,40.61250677,-73.75417256
200,40.61250677,-73.74583923
200,40.61250677,-73.73750589
300,40.61250677,-73.72917256
300,40.61250677,-73.72083922
400,40.61250677,-73.71250589
400,40.61250677,-73.70417255
400,40.61250677,-73.69583922
400,40.61250677,-73.68750588
400,40.61250677,-73.67917255
400,40.61250677,-73.67083921
400,40.61250677,-73.66250588
400,40.62084011,-73.94583927
400,40.62084011,-73.93750593
400,40.62084011,-73.9291726
400,40.62084011,-73.92083926
400,40.62084011,-73.91250593
400,40.62084011,-73.90417259
400,40.62084011,-73.89583926
400,40.62084011,-73.88750592
200,40.62084011,-73.87917259
200,40.62084011,-73.87083925
50,40.62084011,-73.86250592
50,40.62084011,-73.85417258
50,40.62084011,-73.84583925
50,40.62084011,-73.83750591
0,40.62084011,-73.82917258
0,40.62084011,-73.82083924
0,40.62084011,-73.81250591
0,40.62084011,-73.80417257
0,40.62084011,-73.79583924
0,40.62084011,-73.7875059
0,40.62084011,-73.77917257
0,40.62084011,-73.77083923
0,40.62084011,-73.7625059
0,40.62084011,-73.75417256
50,40.62084011,-73.74583923
50,40.62084011,-73.73750589
200,40.62084011,-73.72917256
200,40.62084011,-73.72083922
400,40.62084011,-73.71250589
400,40.62084011,-73.70417255
400,40.62084011,-73.69583922
400,40.62084011,-73.68750588
400,40.62084011,-73.67917255
400,40.62084011,-73.67083921
400,40.62084011,-73.66250588
400,40.62084011,-73.62917254
400,40.62084011,-73.6208392
400,40.62084011,-73.61250587
400,40.62084011,-73.60417253
400,40.62084011,-73.5958392
400,40.62917344,-73.94583927
400,40.62917344,-73.93750593
400,40.62917344,-73.9291726
400,40.62917344,-73.92083926
400,40.62917344,-73.91250593
400,40.62917344,-73.90417259
400,40.62917344,-73.89583926
400,40.62917344,-73.88750592
200,40.62917344,-73.87917259
200,40.62917344,-73.87083925
50,40.62917344,-73.86250592
50,40.62917344,-73.85417258
50,40.62917344,-73.84583925
50,40.62917344,-73.83750591
0,40.62917344,-73.82917258
0,40.62917344,-73.82083924
0,40.62917344,-73.81250591
0,40.62917344,-73.80417257
0,40.62917344,-73.79583924
0,40.62917344,-73.7875059
0,40.62917344,-73.77917257
0,40.62917344,-73.77083923
0,40.62917344,-73.7625059
0,40.62917344,-73.75417256
50,40.62917344,-73.74583923
50,40.62917344,-73.73750589
200,40.62917344,-73.72917256
200,40.62917344,-73.72083922
400,40.62917344,-73.71250589
400,40.62917344,-73.70417255
400,40.62917344,-73.69583922
400,40.62917344,-73.68750588
400,40.62917344,-73.67917255
400,40.62917344,-73.67083921
400,40.62917344,-73.66250588
400,40.62917344,-73.65417254
400,40.62917344,-73.64583921
400,40.62917344,-73.63750587
400,40.62917344,-73.62917254
400,40.62917344,-73.6208392
400,40.62917344,-73.61250587
400,40.62917344,-73.60417253
400,40.62917344,-73.5958392
400,40.63750678,-73.94583927
400,40.63750678,-73.93750593
400,40.63750678,-73.9291726
400,40.63750678,-73.92083926
400,40.63750678,-73.91250593
400,40.63750678,-73.90417259
400,40.63750678,-73.89583926
400,40.63750678,-73.88750592
200,40.63750678,-73.87917259
200,40.63750678,-73.87083925
50,40.63750678,-73.86250592
50,40.63750678,-73.85417258
0,40.63750678,-73.84583925
0,40.63750678,-73.83750591
0,40.63750678,-73.82917258
0,40.63750678,-73.82083924
0,40.63750678,-73.81250591
0,40.63750678,-73.80417257
0,40.63750678,-73.79583924
0,40.63750678,-73.7875059
0,40.63750678,-73.77917257
0,40.63750678,-73.77083923
0,40.63750678,-73.7625059
0,40.63750678,-73.75417256
50,40.63750678,-73.74583923
50,40.63750678,-73.73750589
200,40.63750678,-73.72917256
200,40.63750678,-73.72083922
400,40.63750678,-73.71250589
400,40.63750678,-73.70417255
400,40.63750678,-73.69583922
400,40.63750678,-73.68750588
400,40.63750678,-73.67917255
400,40.63750678,-73.67083921
400,40.63750678,-73.66250588
400,40.63750678,-73.65417254
400,40.63750678,-73.64583921
400,40.63750678,-73.63750587
400,40.63750678,-73.62917254
400,40.63750678,-73.6208392
400,40.63750678,-73.61250587
400,40.63750678,-73.60417253
400,40.63750678,-73.5958392
400,40.64584011,-73.94583927
400,40.64584011,-73.93750593
400,40.64584011,-73.9291726
400,40.64584011,-73.92083926
400,40.64584011,-73.91250593
400,40.64584011,-73.90417259
400,40.64584011,-73.89583926
400,40.64584011,-73.88750592
200,40.64584011,-73.87917259
200,40.64584011,-73.87083925
50,40.64584011,-73.86250592
50,40.64584011,-73.85417258
0,40.64584011,-73.84583925
0,40.64584011,-73.83750591
0,40.64584011,-73.82917258
0,40.64584011,-73.82083924
0,40.64584011,-73.81250591
0,40.64584011,-73.80417257
0,40.64584011,-73.79583924
0,40.64584011,-73.7875059
0,40.64584011,-73.77917257
0,40.64584011,-73.77083923
0,40.64584011,-73.7625059
0,40.64584011,-73.75417256
50,40.64584011,-73.74583923
50,40.64584011,-73.73750589
200,40.64584011,-73.72917256
200,40.64584011,-73.72083922
400,40.64584011,-73.71250589
400,40.64584011,-73.70417255
400,40.64584011,-73.69583922
400,40.64584011,-73.68750588
400,40.64584011,-73.67917255
400,40.64584011,-73.67083921
400,40.64584011,-73.66250588
400,40.64584011,-73.65417254
400,40.64584011,-73.64583921
400,40.64584011,-73.63750587
400,40.64584011,-73.62917254
400,40.64584011,-73.6208392
400,40.64584011,-73.61250587
400,40.64584011,-73.60417253
400,40.64584011,-73.5958392
400,40.65417345,-73.94583927
400,40.65417345,-73.93750593
400,40.65417345,-73.9291726
400,40.65417345,-73.92083926
400,40.65417345,-73.91250593
400,40.65417345,-73.90417259
400,40.65417345,-73.89583926
400,40.65417345,-73.88750592
200,40.65417345,-73.87917259
200,40.65417345,-73.87083925
50,40.65417345,-73.86250592
50,40.65417345,-73.85417258
0,40.65417345,-73.84583925
0,40.65417345,-73.83750591
0,40.65417345,-73.82917258
0,40.65417345,-73.82083924
0,40.65417345,-73.81250591
0,40.65417345,-73.80417257
0,40.65417345,-73.79583924
0,40.65417345,-73.7875059
0,40.65417345,-73.77917257
0,40.65417345,-73.77083923
0,40.65417345,-73.7625059
0,40.65417345,-73.75417256
50,40.65417345,-73.74583923
50,40.65417345,-73.73750589
200,40.65417345,-73.72917256
200,40.65417345,-73.72083922
400,40.65417345,-73.71250589
400,40.65417345,-73.70417255
400,40.65417345,-73.69583922
400,40.65417345,-73.68750588
400,40.65417345,-73.67917255
400,40.65417345,-73.67083921
400,40.65417345,-73.66250588
400,40.65417345,-73.65417254
400,40.65417345,-73.64583921
400,40.65417345,-73.63750587
400,40.65417345,-73.62917254
400,40.65417345,-73.6208392
400,40.65417345,-73.61250587
400,40.65417345,-73.60417253
400,40.65417345,-73.5958392
400,40.66250678,-73.94583927
400,40.66250678,-73.93750593
400,40.66250678,-73.9291726
400,40.66250678,-73.92083926
400,40.66250678,-73.91250593
400,40.66250678,-73.90417259
400,40.66250678,-73.89583926
400,40.66250678,-73.88750592
200,40.66250678,-73.87917259
200,40.66250678,-73.87083925
50,40.66250678,-73.86250592
50,40.66250678,-73.85417258
0,40.66250678,-73.84583925
0,40.66250678,-73.83750591
0,40.66250678,-73.82917258
0,40.66250678,-73.82083924
0,40.66250678,-73.81250591
0,40.66250678,-73.80417257
0,40.66250678,-73.79583924
0,40.66250678,-73.7875059
0,40.66250678,-73.77917257
0,40.66250678,-73.77083923
0,40.66250678,-73.7625059
0,40.66250678,-73.75417256
50,40.66250678,-73.74583923
50,40.66250678,-73.73750589
200,40.66250678,-73.72917256
200,40.66250678,-73.72083922
400,40.66250678,-73.71250589
400,40.66250678,-73.70417255
400,40.66250678,-73.69583922
400,40.66250678,-73.68750588
400,40.66250678,-73.67917255
400,40.66250678,-73.67083921
400,40.66250678,-73.66250588
400,40.66250678,-73.65417254
400,40.66250678,-73.64583921
400,40.66250678,-73.63750587
400,40.66250678,-73.62917254
400,40.66250678,-73.6208392
400,40.66250678,-73.61250587
400,40.66250678,-73.60417253
400,40.66250678,-73.5958392
400,40.67084012,-73.93750593
400,40.67084012,-73.9291726
400,40.67084012,-73.92083926
400,40.67084012,-73.91250593
400,40.67084012,-73.90417259
400,40.67084012,-73.89583926
400,40.67084012,-73.88750592
400,40.67084012,-73.87917259
400,40.67084012,-73.87083925
400,40.67084012,-73.86250592
400,40.67084012,-73.85417258
100,40.67084012,-73.84583925
100,40.67084012,-73.83750591
0,40.67084012,-73.82917258
0,40.67084012,-73.82083924
0,40.67084012,-73.81250591
0,40.67084012,-73.80417257
0,40.67084012,-73.79583924
0,40.67084012,-73.7875059
0,40.67084012,-73.77917257
0,40.67084012,-73.77083923
0,40.67084012,-73.7625059
0,40.67084012,-73.75417256
100,40.67084012,-73.74583923
100,40.67084012,-73.73750589
100,40.67084012,-73.72917256
100,40.67084012,-73.72083922
400,40.67084012,-73.71250589
400,40.67084012,-73.70417255
400,40.67084012,-73.69583922
400,40.67084012,-73.68750588
400,40.67084012,-73.67917255
400,40.67084012,-73.67083921
400,40.67084012,-73.66250588
400,40.67084012,-73.65417254
400,40.67084012,-73.64583921
400,40.67084012,-73.63750587
400,40.67084012,-73.62917254
400,40.67084012,-73.6208392
400,40.67084012,-73.61250587
400,40.67084012,-73.60417253
400,40.67917345,-73.93750593
400,40.67917345,-73.9291726
400,40.67917345,-73.92083926
400,40.67917345,-73.91250593
400,40.67917345,-73.90417259
400,40.67917345,-73.89583926
400,40.67917345,-73.88750592
400,40.67917345,-73.87917259
400,40.67917345,-73.87083925
400,40.67917345,-73.86250592
400,40.67917345,-73.85417258
100,40.67917345,-73.84583925
100,40.67917345,-73.83750591
0,40.67917345,-73.82917258
0,40.67917345,-73.82083924
0,40.67917345,-73.81250591
0,40.67917345,-73.80417257
0,40.67917345,-73.79583924
0,40.67917345,-73.7875059
0,40.67917345,-73.77917257
0,40.67917345,-73.77083923
0,40.67917345,-73.7625059
0,40.67917345,-73.75417256
100,40.67917345,-73.74583923
100,40.67917345,-73.73750589
100,40.67917345,-73.72917256
100,40.67917345,-73.72083922
400,40.67917345,-73.71250589
400,40.67917345,-73.70417255
400,40.67917345,-73.69583922
400,40.67917345,-73.68750588
400,40.67917345,-73.67917255
400,40.67917345,-73.67083921
400,40.67917345,-73.66250588
400,40.67917345,-73.65417254
400,40.67917345,-73.64583921
400,40.67917345,-73.63750587
400,40.67917345,-73.62917254
400,40.67917345,-73.6208392
400,40.67917345,-73.61250587
400,40.67917345,-73.60417253
200,40.68750679,-73.93750593
200,40.68750679,-73.9291726
200,40.68750679,-73.92083926
200,40.68750679,-73.91250593
200,40.68750679,-73.90417259
200,40.68750679,-73.89583926
200,40.68750679,-73.88750592
200,40.68750679,-73.87917259
200,40.68750679,-73.87083925
200,40.68750679,-73.86250592
200,40.68750679,-73.85417258
200,40.68750679,-73.84583925
200,40.68750679,-73.83750591
200,40.68750679,-73.82917258
200,40.68750679,-73.82083924
200,40.68750679,-73.81250591
200,40.68750679,-73.80417257
200,40.68750679,-73.79583924
200,40.68750679,-73.7875059
200,40.68750679,-73.77917257
200,40.68750679,-73.77083923
200,40.68750679,-73.7625059
200,40.68750679,-73.75417256
200,40.68750679,-73.74583923
200,40.68750679,-73.73750589
200,40.68750679,-73.72917256
200,40.68750679,-73.72083922
200,40.68750679,-73.71250589
200,40.68750679,-73.70417255
200,40.68750679,-73.69583922
200,40.68750679,-73.68750588
200,40.68750679,-73.67917255
200,40.68750679,-73.67083921
200,40.68750679,-73.66250588
200,40.68750679,-73.65417254
200,40.68750679,-73.64583921
200,40.68750679,-73.63750587
200,40.68750679,-73.62917254
200,40.68750679,-73.6208392
200,40.68750679,-73.61250587
200,40.69584012,-73.93750593
200,40.69584012,-73.9291726
200,40.69584012,-73.92083926
200,40.69584012,-73.91250593
200,40.69584012,-73.90417259
200,40.69584012,-73.89583926
200,40.69584012,-73.88750592
200,40.69584012,-73.87917259
200,40.69584012,-73.87083925
200,40.69584012,-73.86250592
200,40.69584012,-73.85417258
200,40.69584012,-73.84583925
200,40.69584012,-73.83750591
200,40.69584012,-73.82917258
200,40.69584012,-73.82083924
200,40.69584012,-73.81250591
200,40.69584012,-73.80417257
200,40.69584012,-73.79583924
200,40.69584012,-73.7875059
200,40.69584012,-73.77917257
200,40.69584012,-73.77083923
200,40.69584012,-73.7625059
200,40.69584012,-73.75417256
200,40.69584012,-73.74583923
200,40.69584012,-73.73750589
200,40.69584012,-73.72917256
200,40.69584012,-73.72083922
200,40.69584012,-73.71250589
200,40.69584012,-73.70417255
200,40.69584012,-73.69583922
200,40.69584012,-73.68750588
200,40.69584012,-73.67917255
200,40.69584012,-73.67083921
200,40.69584012,-73.66250588
200,40.69584012,-73.65417254
200,40.69584012,-73.64583921
200,40.69584012,-73.63750587
200,40.69584012,-73.62917254
200,40.69584012,-73.6208392
200,40.69584012,-73.61250587
400,40.70417346,-73.9541726
200,40.70417346,-73.94583927
200,40.70417346,-73.93750593
200,40.70417346,-73.9291726
200,40.70417346,-73.92083926
